wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,close_dist
Point (31.66775800000004892 -9.97311799999994264),ZM201800000041,ZM,2018,41,ZM,7,Northern,7,Northern,GPS,R,-9.973118,31.667758,1237,1241,WGS84,0,724.0973968,207.3885816
Point (24.45505600000007007 -16.29888599999998178),ZM201800000042,ZM,2018,42,ZM,10,Western,10,Western,GPS,R,-16.298886,24.455056,1040,1030,WGS84,0,687.7547977,301.3982967
Point (28.28451100000006591 -15.37319699999994782),ZM201800000043,ZM,2018,43,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.373197,28.284511,1231,1238,WGS84,5,473.1698264,19.32478385
Point (28.18750300000004927 -15.38968399999993153),ZM201800000044,ZM,2018,44,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.389684,28.187503,1247,1238,WGS84,5,474.8556227,14.99988767
Point (23.18037800000007564 -15.32521799999994982),ZM201800000045,ZM,2018,45,ZM,10,Western,10,Western,GPS,R,-15.325218,23.180378,1034,1021,WGS84,0,765.1134181,410.9998514
Point (27.0735400000000368 -17.14886099999995395),ZM201800000046,ZM,2018,46,ZM,9,Southern,9,Southern,GPS,R,-17.148861,27.07354,1280,1307,WGS84,2,562.9732451,24.82968339
Point (25.28436000000004924 -14.76739999999995234),ZM201800000047,ZM,2018,47,ZM,10,Western,10,Western,GPS,R,-14.7674,25.28436,1187,1186,WGS84,0,592.9560767,279.2849342
Point (26.85604900000004136 -15.01433499999996002),ZM201800000048,ZM,2018,48,ZM,1,Central,1,Central,GPS,R,-15.014335,26.856049,1099,1120,WGS84,0,508.1692756,124.9252361
Point (28.24741100000005645 -15.27877699999993411),ZM201800000049,ZM,2018,49,ZM,1,Central,1,Central,GPS,R,-15.278777,28.247411,1197,1192,WGS84,4,471.9064505,28.53555138
Point (26.39755800000006047 -12.1920669999999518),ZM201800000050,ZM,2018,50,ZM,8,North Western,8,North Western,GPS,U,-12.192067,26.397558,9999,1310,WGS84,5,523.683911,11.48098258
Point (31.33336200000007921 -9.9483349999999291),ZM201800000051,ZM,2018,51,ZM,7,Northern,7,Northern,GPS,R,-9.948335,31.333362,1041,1355,WGS84,0,709.7516924,237.5102696
Point (24.96380900000002612 -11.87856299999992871),ZM201800000052,ZM,2018,52,ZM,8,North Western,8,North Western,GPS,R,-11.878563,24.963809,9999,1440,WGS84,0,627.0023529,55.72990747
Point (29.75301100000007182 -8.81615899999997055),ZM201800000053,ZM,2018,53,ZM,7,Northern,7,Northern,GPS,R,-8.816159,29.753011,429,968,WGS84,0,742.0653402,80.77659001
Point (23.12012700000002496 -15.27597899999994979),ZM201800000054,ZM,2018,54,ZM,10,Western,10,Western,GPS,U,-15.275979,23.120127,1018,1014,WGS84,0,769.3666561,410.1786233
Point (32.58754300000003923 -13.64089899999993349),ZM201800000055,ZM,2018,55,ZM,3,Eastern,3,Eastern,GPS,R,-13.640899,32.587543,831,1055,WGS84,0,613.3334902,118.7953317
Point (28.36075000000005275 -15.40014599999994971),ZM201800000056,ZM,2018,56,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.400146,28.36075,1284,1262,WGS84,5,472.7885814,18.91215397
Point (25.86629400000003898 -17.86564199999997982),ZM201800000057,ZM,2018,57,ZM,9,Southern,9,Southern,GPS,U,-17.865642,25.866294,907,913,WGS84,0,656.8500897,80.80774135
Point (28.09226100000006454 -14.72080199999993511),ZM201800000058,ZM,2018,58,ZM,1,Central,1,Central,GPS,R,-14.720802,28.092261,1152,1177,WGS84,2,464.7618214,47.14860893
Point (30.01873800000004167 -10.83146599999997761),ZM201800000059,ZM,2018,59,ZM,7,Northern,7,Northern,GPS,R,-10.831466,30.018738,939,1174,WGS84,0,594.3386721,106.7360431
Point (30.41960700000004181 -12.73440199999993183),ZM201800000060,ZM,2018,60,ZM,1,Central,1,Central,GPS,R,-12.734402,30.419607,965,1382,WGS84,0,519.8698743,146.4024535
