wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,rms_dist
Point (29.11938700000007429 -8.84657699999996794),ZM201800000153,ZM,2018,153,ZM,4,Luapula,4,Luapula,GPS,R,-8.846577,29.119387,1022,992,WGS84,0,725.9738479363913,804.2316121445906
Point (32.74887300000006007 -9.29907899999994925),ZM201800000154,ZM,2018,154,ZM,6,Muchinga,6,Muchinga,GPS,U,-9.299079,32.748873,1289,1712,WGS84,0,828.5871084422567,869.8105726131475
Point (31.67976800000002413 -14.0878959999999438),ZM201800000155,ZM,2018,155,ZM,3,Eastern,3,Eastern,GPS,R,-14.087896,31.679768,1067,1066,WGS84,0,553.3542132618974,579.4373153382719
Point (28.09468200000003435 -13.2178279999999404),ZM201800000156,ZM,2018,156,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.217828,28.094682,1192,1210,WGS84,23,449.9582830703713,525.3456352430838
Point (32.27431000000007089 -13.74384499999996478),ZM201800000157,ZM,2018,157,ZM,3,Eastern,3,Eastern,GPS,R,-13.743845,32.27431,957,942,WGS84,0,592.2446056909101,618.9542342757856
Point (28.74618800000007468 -9.43084799999996903),ZM201800000158,ZM,2018,158,ZM,4,Luapula,4,Luapula,GPS,R,-9.430848,28.746188,936,941,WGS84,0,668.8896782222973,754.2485716715405
Point (26.78255500000005895 -16.70816499999995131),ZM201800000159,ZM,2018,159,ZM,9,Southern,9,Southern,GPS,R,-16.708165,26.782555,1375,1379,WGS84,0,558.985363325129,598.0946792674531
Point (29.04049200000002884 -10.82288099999993847),ZM201800000160,ZM,2018,160,ZM,4,Luapula,4,Luapula,GPS,R,-10.822881,29.040492,1280,1271,WGS84,3,564.3123537626894,645.5854110156956
Point (29.04617665630483714 -8.56274563680750767),ZM201800000161,ZM,2018,161,ZM,4,Luapula,4,Luapula,GPS,R,-8.562745637,29.04617666,929,930,WGS84,2,750.6797691205129,829.1389611438605
Point (28.28702000000004091 -15.45351299999992989),ZM201800000162,ZM,2018,162,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.453513,28.28702,1284,1283,WGS84,5,474.6742281219962,511.332542033798
Point (25.90702300000003788 -12.40359199999994644),ZM201800000163,ZM,2018,163,ZM,8,North Western,8,North Western,GPS,R,-12.403592,25.907023,1306,1332,WGS84,1,548.5514295350923,640.2459798818758
Point (24.3557760000000485 -14.98233799999997018),ZM201800000164,ZM,2018,164,ZM,10,Western,10,Western,GPS,R,-14.982338,24.355776,1087,1099,WGS84,0,663.9390676516659,700.9452416093753
Point (28.40066600000005792 -14.43567399999994905),ZM201800000165,ZM,2018,165,ZM,1,Central,1,Central,GPS,U,-14.435674,28.400666,1188,1187,WGS84,2,457.36614179907,499.65499794331055
Point (29.11344700000006469 -14.72503699999992932),ZM201800000166,ZM,2018,166,ZM,1,Central,1,Central,GPS,R,-14.725037,29.113447,412,497,WGS84,0,462.63708371246753,496.94642383080156
Point (28.41312200000004395 -14.22410299999995686),ZM201800000167,ZM,2018,167,ZM,1,Central,1,Central,GPS,R,-14.224103,28.413122,920,1175,WGS84,2,455.0375436347643,500.58658472364084
Point (32.50340700000003835 -13.37763999999992848),ZM201800000168,ZM,2018,168,ZM,3,Eastern,3,Eastern,GPS,R,-13.37764,32.503407,672,840,WGS84,0,613.6607494846041,640.7162818228653
Point (29.54138900000003787 -11.37154899999995905),ZM201800000169,ZM,2018,169,ZM,4,Luapula,4,Luapula,GPS,U,-11.371549,29.541389,1183,1184,WGS84,0,544.1363271163548,611.748171775068
Point (28.6547090000000253 -12.93766599999997879),ZM201800000170,ZM,2018,170,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.937666,28.654709,1300,1296,WGS84,24,453.94735512222314,527.9410063628987
Point (31.00511400000004869 -11.64152999999993199),ZM201800000171,ZM,2018,171,ZM,6,Muchinga,6,Muchinga,GPS,R,-11.64153,31.005114,1245,1311,WGS84,0,591.5111171237982,632.2304117670888
Point (26.17080900000007659 -17.05830199999996921),ZM201800000172,ZM,2018,172,ZM,9,Southern,9,Southern,GPS,R,-17.058302,26.170809,1248,1229,WGS84,0,603.4486854090322,642.1643869616622
Point (28.44649600000002465 -14.45824399999997922),ZM201800000173,ZM,2018,173,ZM,1,Central,1,Central,GPS,U,-14.458244,28.446496,1172,1182,WGS84,2,457.3711894889107,499.05608208254955
Point (28.24815300000005891 -15.37385099999994509),ZM201800000174,ZM,2018,174,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.373851,28.248153,1211,1217,WGS84,5,473.66342268005275,510.2330309511578
Point (31.93459900000004836 -10.62734499999993432),ZM201800000175,ZM,2018,175,ZM,6,Muchinga,6,Muchinga,GPS,R,-10.627345,31.934599,1042,1303,WGS84,0,695.5566037568068,735.1790408821253
Point (23.11321200000003273 -13.53686599999997497),ZM201800000176,ZM,2018,176,ZM,8,North Western,8,North Western,GPS,U,-13.536866,23.113212,1062,1079,WGS84,0,757.89963882218,808.2528955182428
Point (28.70171100000004571 -15.37277899999997999),ZM201800000177,ZM,2018,177,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.372779,28.701711,1099,1087,WGS84,0,470.08180699267115,505.4306992062715
Point (28.61107800000007728 -10.1922329999999306),ZM201800000178,ZM,2018,178,ZM,4,Luapula,4,Luapula,GPS,R,-10.192233,28.611078,988,942,WGS84,0,603.7196898986379,693.3793421187412
Point (23.96153700000007802 -14.37561199999993278),ZM201800000180,ZM,2018,180,ZM,10,Western,10,Western,GPS,R,-14.375612,23.961537,834,1064,WGS84,0,687.5817335997426,730.4506932780671
Point (30.11505400000004329 -15.123175999999944),ZM201800000181,ZM,2018,181,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.123176,30.115054,338,386,WGS84,0,485.19699498465997,516.1235113597269
Point (28.24312900000006721 -15.39397399999995741),ZM201800000182,ZM,2018,182,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.393974,28.243129,1263,1262,WGS84,5,474.1153313667736,510.72399316498667
Point (24.79924900000003163 -11.73144999999993843),ZM201800000183,ZM,2018,183,ZM,8,North Western,8,North Western,GPS,R,-11.73145,24.799249,1492,1471,WGS84,0,644.129399793524,737.8121421298987
Point (33.18924600000002556 -12.27597199999996747),ZM201800000184,ZM,2018,184,ZM,3,Eastern,3,Eastern,GPS,U,-12.275972,33.189246,805,1124,WGS84,2,691.4853099662566,721.349109141507
Point (28.43302300000004834 -11.48429499999997461),ZM201800000185,ZM,2018,185,ZM,4,Luapula,4,Luapula,GPS,R,-11.484295,28.433023,1073,1077,WGS84,0,509.95500703700117,603.627059221621
Point (29.11018821691849112 -8.79682929522655499),ZM201800000186,ZM,2018,186,ZM,4,Luapula,4,Luapula,GPS,R,-8.784923,29.096959,984,990,WGS84,0,731.1639812141927,809.58081998113
Point (23.16582800000003317 -16.28961099999997941),ZM201800000187,ZM,2018,187,ZM,10,Western,10,Western,GPS,R,-16.289611,23.165828,1006,1003,WGS84,0,788.5678304629033,816.5472581802176
Point (28.43503500000002759 -15.33150399999993851),ZM201800000188,ZM,2018,188,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.331504,28.435035,1163,1164,WGS84,3,470.7994987255452,506.86169347517864
Point (31.19192300000003115 -10.20939499999997224),ZM201800000189,ZM,2018,189,ZM,7,Northern,7,Northern,GPS,U,-10.209395,31.191923,1063,1354,WGS84,0,685.0865807082615,733.0161700757942
Point (28.30938000000003285 -12.48136199999993323),ZM201800000190,ZM,2018,190,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.481362,28.30938,1273,1319,WGS84,40,460.1389265507372,550.4868475477567
Point (32.66144800000006398 -13.6604059999999663),ZM201800000191,ZM,2018,191,ZM,3,Eastern,3,Eastern,GPS,U,-13.660406,32.661448,162,1221,WGS84,0,617.6100895705946,645.4571363881483
Point (25.87517300000007481 -17.84032199999995782),ZM201800000192,ZM,2018,192,ZM,9,Southern,9,Southern,GPS,U,-17.840322,25.875173,920,925,WGS84,0,655.077014858817,698.5324574561513
Point (28.25125400000007403 -12.55886399999997138),ZM201800000193,ZM,2018,193,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.558864,28.251254,1297,1289,WGS84,44,456.9728361665348,547.7825068160381
Point (28.75942800000007082 -9.82335899999992535),ZM201800000194,ZM,2018,194,ZM,4,Luapula,4,Luapula,GPS,U,-9.823359,28.759428,964,961,WGS84,0,635.805109311303,721.931251876447
Point (28.41816100000005463 -13.13556199999993623),ZM201800000195,ZM,2018,195,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-13.135562,28.418161,167,1246,WGS84,32,449.19065436001523,523.0731936472117
Point (31.24090400000005729 -10.14470699999992576),ZM201800000196,ZM,2018,196,ZM,7,Northern,7,Northern,GPS,R,-10.144707,31.240904,729,1374,WGS84,0,691.7837470158522,739.5428419938645
Point (28.30698000000006687 -15.48944199999993998),ZM201800000197,ZM,2018,197,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.489442,28.30698,1292,1288,WGS84,5,475.1311799053113,511.85446296901824
Point (23.20634100000006583 -14.57386599999995269),ZM201800000198,ZM,2018,198,ZM,10,Western,10,Western,GPS,R,-14.573866,23.206341,807,1039,WGS84,0,752.6930004823449,791.5836667631872
Point (32.54355300000003126 -13.52999299999993355),ZM201800000199,ZM,2018,199,ZM,3,Eastern,3,Eastern,GPS,R,-13.529993,32.543553,980,985,WGS84,0,612.8232530310837,640.0733524259405
Point (32.61451900000002979 -13.6184669999999528),ZM201800000200,ZM,2018,200,ZM,3,Eastern,3,Eastern,GPS,U,-13.618467,32.614519,618,1105,WGS84,0,615.4670166510083,643.0694094041966
Point (29.39369700000003149 -13.61858299999994415),ZM201800000201,ZM,2018,201,ZM,1,Central,1,Central,GPS,U,-13.618583,29.393697,1271,1268,WGS84,2,464.7362263208924,508.89884037314556
Point (27.14597400000002381 -16.13977899999997589),ZM201800000202,ZM,2018,202,ZM,9,Southern,9,Southern,GPS,R,-16.139779,27.145974,797,1008,WGS84,0,524.4014582168106,561.1307785868729
Point (22.9223540000000412 -13.81068399999998064),ZM201800000203,ZM,2018,203,ZM,8,North Western,8,North Western,GPS,R,-13.810684,22.922354,1079,1053,WGS84,0,774.2394063423473,820.4854787275731
Point (30.79281600000007302 -10.74635199999994484),ZM201800000204,ZM,2018,204,ZM,7,Northern,7,Northern,GPS,R,-10.746352,30.792816,966,1226,WGS84,0,631.6930304588901,681.2300442952009
Point (31.19521700000007058 -10.21354899999994359),ZM201800000205,ZM,2018,205,ZM,7,Northern,7,Northern,GPS,U,-10.213549,31.195217,1309,1325,WGS84,0,684.9567356882164,732.8318288431063
Point (26.82406400000007807 -17.53442699999993692),ZM201800000206,ZM,2018,206,ZM,9,Southern,9,Southern,GPS,R,-17.534427,26.824064,1161,1180,WGS84,2,590.507380557181,638.9489038390545
Point (23.31423500000005333 -16.1070079999999507),ZM201800000207,ZM,2018,207,ZM,10,Western,10,Western,GPS,U,-16.107008,23.314235,806,1027,WGS84,0,771.3362915547807,800.1038446135549
Point (27.88632800000004863 -15.69838699999996834),ZM201800000208,ZM,2018,208,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.698387,27.886328,9999,977,WGS84,8,487.820684425144,524.9860918463435
Point (28.43279900000004545 -15.27098799999993162),ZM201800000209,ZM,2018,209,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.270988,28.432799,9999,1116,WGS84,3,469.7319322948661,505.758709099432
Point (27.56935200000003761 -14.72956499999997959),ZM201800000210,ZM,2018,210,ZM,1,Central,1,Central,GPS,R,-14.729565,27.569352,1129,1144,WGS84,0,476.62133136969123,518.0123271384914
Point (27.83849000000003571 -12.36608899999993127),ZM201800000211,ZM,2018,211,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.366089,27.83849,1320,1328,WGS84,28,465.32294560129935,564.4437186747379
Point (28.87759100000005219 -11.17179599999997208),ZM201800000212,ZM,2018,212,ZM,4,Luapula,4,Luapula,GPS,U,-11.171796,28.877591,1229,1223,WGS84,3,537.2608710049793,621.4331661281504
Point (32.3661930000000666 -13.49084999999996626),ZM201800000213,ZM,2018,213,ZM,3,Eastern,3,Eastern,GPS,R,-13.49085,32.366193,889,886,WGS84,0,602.742243742984,629.4526847350049
Point (27.88892600000002631 -12.51904699999994364),ZM201800000214,ZM,2018,214,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.519047,27.888926,1334,1344,WGS84,38,459.726107384764,556.2359362698916
Point (27.83887200000003759 -13.5616699999999355),ZM201800000215,ZM,2018,215,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.56167,27.838872,939,1203,WGS84,0,455.78112674811723,521.5472691927939
Point (30.11002700000005916 -9.36465499999997064),ZM201800000216,ZM,2018,216,ZM,7,Northern,7,Northern,GPS,U,-9.364655,30.110027,1431,1436,WGS84,0,705.7839101108659,770.0465568924583
Point (33.14225500000003422 -9.78770499999995991),ZM201800000217,ZM,2018,217,ZM,6,Muchinga,6,Muchinga,GPS,R,-9.787705,33.142255,1246,1158,WGS84,0,817.8368794482911,856.2392595414582
Point (23.28377400000005082 -15.53746699999993552),ZM201800000218,ZM,2018,218,ZM,10,Western,10,Western,GPS,R,-15.537467,23.283774,1052,1060,WGS84,0,760.4707787209198,791.8673369435664
Point (32.42729100000002518 -13.73921099999995477),ZM201800000219,ZM,2018,219,ZM,3,Eastern,3,Eastern,GPS,R,-13.739211,32.427291,966,981,WGS84,0,601.5684088331597,628.7464058263095
Point (27.68115800000003901 -12.36279099999995879),ZM201800000220,ZM,2018,220,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-12.362791,27.681158,1289,1286,WGS84,14,468.6225773010407,568.4322145039774
Point (33.17067100000002711 -12.19631499999997004),ZM201800000221,ZM,2018,221,ZM,3,Eastern,3,Eastern,GPS,R,-12.196315,33.170671,805,1110,WGS84,0,693.2780576706333,723.2548898982761
Point (22.17573900000007825 -14.39485599999994747),ZM201800000222,ZM,2018,222,ZM,10,Western,10,Western,GPS,R,-14.394856,22.175739,1053,1046,WGS84,0,843.0275577433174,881.0957097094374
Point (22.67904100000004064 -14.99979299999995419),ZM201800000223,ZM,2018,223,ZM,10,Western,10,Western,GPS,U,-14.999793,22.679041,1029,1029,WGS84,0,803.3878864072703,837.5663370675912
Point (32.01083600000004026 -9.43376199999994469),ZM201800000224,ZM,2018,224,ZM,7,Northern,7,Northern,GPS,R,-9.433762,32.010836,1329,1330,WGS84,0,779.6041380611251,824.2166874490802
Point (32.61866000000003396 -13.60775199999994811),ZM201800000225,ZM,2018,225,ZM,3,Eastern,3,Eastern,GPS,U,-13.607752,32.61866,1063,1083,WGS84,0,615.9401665266356,643.5399782429664
Point (28.63437800000002653 -10.17621899999994639),ZM201800000226,ZM,2018,226,ZM,4,Luapula,4,Luapula,GPS,R,-10.176219,28.634378,764,926,WGS84,0,605.3097297279165,694.4949957833057
Point (28.28511800000006815 -15.37219399999997904),ZM201800000227,ZM,2018,227,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.372194,28.285118,974,1240,WGS84,5,473.14324867038374,509.6373503017108
Point (23.25313000000005559 -15.86154499999997824),ZM201800000228,ZM,2018,228,ZM,10,Western,10,Western,GPS,R,-15.861545,23.25313,1009,1006,WGS84,0,770.1911789909927,799.8617077165583
Point (28.37724200000002384 -15.39852899999993951),ZM201800000229,ZM,2018,229,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.398529,28.377242,9999,1249,WGS84,4,472.58618058635295,508.91123050896516
Point (31.27492600000005041 -14.32087099999995417),ZM201800000230,ZM,2018,230,ZM,3,Eastern,3,Eastern,GPS,R,-14.320871,31.274926,911,923,WGS84,0,530.3873554108849,556.7227960193842
Point (28.27596800000003441 -15.3745829999999728),ZM201800000231,ZM,2018,231,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.374583,28.275968,1275,1264,WGS84,5,473.30559096103167,509.8220855131042
Point (28.46237100000007558 -14.38601499999992939),ZM201800000232,ZM,2018,232,ZM,1,Central,1,Central,GPS,U,-14.386015,28.462371,1172,1174,WGS84,2,456.5081838558004,499.0834040147538
Point (28.88056000000005952 -11.21835799999996652),ZM201800000233,ZM,2018,233,ZM,4,Luapula,4,Luapula,GPS,U,-11.218358,28.88056,1215,1219,WGS84,3,534.3937765998406,618.3267140268699
Point (28.89157500000004575 -11.20396499999992557),ZM201800000234,ZM,2018,234,ZM,4,Luapula,4,Luapula,GPS,U,-11.203965,28.891575,1229,1226,WGS84,3,535.5481471439704,619.2714497155982
Point (31.64279100000004519 -10.39409399999993866),ZM201800000235,ZM,2018,235,ZM,7,Northern,7,Northern,GPS,R,-10.394094,31.642791,1221,1212,WGS84,0,694.7998021661494,737.715405440477
Point (28.27633900000006406 -15.47994799999997895),ZM201800000237,ZM,2018,237,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.479948,28.276339,1288,1286,WGS84,5,475.3307262495856,512.0839516292859
Point (26.97667000000006965 -16.82487099999997326),ZM201800000238,ZM,2018,238,ZM,9,Southern,9,Southern,GPS,U,-16.824871,26.97667,1314,1307,WGS84,0,554.5584948856806,595.7900096269049
Point (32.07373700000005101 -10.53278099999994311),ZM201800000239,ZM,2018,239,ZM,6,Muchinga,6,Muchinga,GPS,U,-10.532781,32.073737,1282,1268,WGS84,0,708.8695521318346,748.1989228718772
Point (22.62715700000006791 -15.23432999999994308),ZM201800000240,ZM,2018,240,ZM,10,Western,10,Western,GPS,R,-15.23433,22.627157,1056,1058,WGS84,0,811.3196294740236,843.7412632572023
Point (29.0703740000000721 -9.80166499999995722),ZM201800000241,ZM,2018,241,ZM,4,Luapula,4,Luapula,GPS,U,-9.801665,29.070374,1344,1331,WGS84,0,642.9030078260001,723.5482308087988
Point (32.65024500000004082 -10.13254399999993893),ZM201800000242,ZM,2018,242,ZM,6,Muchinga,6,Muchinga,GPS,U,-10.132544,32.650245,9999,1304,WGS84,0,766.3406383365402,805.0036931887876
Point (28.23271800000003395 -12.76263099999994211),ZM201800000243,ZM,2018,243,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.762631,28.232718,954,1213,WGS84,44,451.559087940207,539.3614532021537
Point (31.19202800000005027 -9.51792399999993677),ZM201800000244,ZM,2018,244,ZM,7,Northern,7,Northern,GPS,R,-9.517924,31.192028,1058,1554,WGS84,0,734.8324753950296,785.7079780299393
